D.J. Stewart,BAL,"OF,U",12,0.308,43,38,8,398,17766
Sam Travis,BOS,"OF,U",0,0.31,1,1,0,7,16263
Pablo Reyes,PIT,"OF,U",3,0.305,16,15,4,147,16357
Cameron Maybin,SF,"OF,U",2,0.323,14,9,4,119,5223
Austin Dean,MIA,"OF,U",8,0.304,39,37,2,390,18288
Manny Pina,MIL,"C,U",3,0.3,11,11,1,102,2829
Travis Jankowski,SDP,"OF,U",1,0.329,12,7,5,100,13768
Christian Arroyo,TB,"2B,3B,CI,MI,U",1,0.307,4,4,0,35,16434
Garrett Cooper,MIA,"OF,U",5,0.305,20,21,1,209,15279
Hernan Perez,MIL,"2B,3B,SS,CI,MI,OF,U",8,0.29,32,30,7,280,5751
Kevin Kramer,PIT,"3B,CI,U",2,0.302,11,10,1,99,17689
Carlos Gomez,NYM,"OF,U",2,0.297,6,5,1,49,4881
Yairo Munoz,STL,"3B,SS,CI,MI,OF,U",7,0.299,29,28,5,263,16313
Renato Nunez,BAL,"3B,CI,U",21,0.287,57,64,2,567,14503
T.J. Rivera,NYM,"2B,3B,CI,MI,U",1,0.303,3,3,0,29,12495
Tony Wolters,COL,"C,U",3,0.325,28,22,2,257,11470
Chance Sisco,BAL,"C,U",5,0.312,24,22,1,247,15694
Tim Locastro,ARI,"OF,U",0,0.312,2,1,0,14,15124
Matt Wieters,STL,"C,U",4,0.303,13,14,0,129,4298
Carson Kelly,ARI,"C,U",4,0.311,22,22,1,222,13620
Keston Hiura,MIL,"2B,MI,U",0,0.299,2,2,0,21,sa3004043
J.D. Davis,NYM,"1B,3B,CI,U",2,0.293,7,8,0,70,16219
Andrew Toles,LAD,"OF,U",2,0.297,13,12,2,116,13414
Dominic Smith,NYM,"1B,CI,OF,U",0,0.297,1,1,0,14,15653
Nick Ahmed,ARI,"SS,MI,U",17,0.29,66,67,8,617,12147
Gerardo Parra,SF,"OF,U",5,0.308,42,38,6,407,8553
Pat Valaika,COL,"1B,2B,CI,MI,U",4,0.277,13,13,1,115,14885
Michael A. Taylor,WAS,"OF,U",7,0.29,29,26,10,236,11489
Jonathan Davis,TOR,"OF,U",1,0.303,4,3,1,34,15104
Martin Prado,MIA,"3B,CI,U",3,0.313,31,27,2,325,3312
Jose Iglesias,CIN,"SS,MI,U",2,0.304,16,13,3,141,10231
Freddy Galvis,TOR,"SS,MI,U",10,0.292,45,40,7,410,6609
Mac Williamson,SF,"OF,U",16,0.292,54,58,4,528,14158
Tom Murphy,COL,"C,U",2,0.271,7,8,0,64,13499
Christian Vazquez,BOS,"C,U",5,0.305,42,38,5,387,9774
Amed Rosario,NYM,"SS,MI,U",11,0.295,70,55,20,632,15518
Miguel Rojas,MIA,"1B,3B,SS,CI,MI,U",4,0.306,25,22,3,261,7802
Jason Martin,PIT,"OF,U",1,0.288,2,2,0,21,sa737834
Alen Hanson,SF,"2B,3B,SS,CI,MI,OF,U",1,0.283,7,5,2,56,12926
Blake Swihart,BOS,"C,1B,CI,OF,U",3,0.295,15,13,2,135,13176
Tyler Wade,NYY,"2B,MI,U",0,0.302,1,1,0,7,15730
Mauricio Dubon,MIL,"SS,MI,U",1,0.291,5,4,1,49,sa738378
Steven Duggar,SF,"OF,U",7,0.3,54,43,11,520,17719
Lewis Brinson,MIA,"OF,U",17,0.278,58,58,8,579,14352
Charlie Culberson,ATL,"3B,SS,CI,MI,OF,U",4,0.283,18,18,2,166,3298
Jarrod Dyson,ARI,"OF,U",2,0.312,32,14,16,260,4866
Wilmer Difo,WAS,"2B,3B,CI,MI,U",3,0.299,19,17,4,179,14320
Roman Quinn,PHI,"OF,U",4,0.297,31,20,12,262,13546
Kevin Newman,PIT,"SS,MI,U",3,0.3,28,26,6,286,17696
Dylan Cozens,PHI,"OF,U",1,0.271,3,4,0,29,15115
Juan Lagares,NYM,"OF,U",4,0.29,27,23,5,271,5384
Michael Perez,TB,"C,U",3,0.285,15,17,1,164,12977
Scott Kingery,PHI,"3B,SS,CI,MI,U",9,0.279,36,35,8,344,17975
Tyler Saladino,MIL,"SS,MI,U",2,0.287,9,8,2,86,10807
Edmundo Sosa,STL,"SS,MI,U",0,0.286,2,2,0,21,17022
Austin Wynns,BAL,"C,U",8,0.288,34,33,1,370,15271
J.T. Riddle,MIA,"SS,MI,U",10,0.286,44,43,3,477,17642
Orlando Arcia,MIL,"SS,MI,U",11,0.287,59,53,12,561,13185
Cole Tucker,PIT,"SS,MI,U",0,0.295,4,3,1,35,sa828671
Lane Thomas,STL,"OF,U",0,0.279,2,1,0,14,sa828962
Sandy Leon,BOS,"C,U",4,0.284,20,20,1,194,5273
Erik Gonzalez,PIT,"1B,2B,3B,SS,CI,MI,U",10,0.271,47,44,8,454,13369
Jorge Alfaro,MIA,"C,U",12,0.276,45,47,3,499,12180
Chris Shaw,SF,"OF,U",3,0.267,11,13,0,119,17738
Peter O'Brien,MIA,"1B,CI,U",16,0.258,36,44,1,375,13288
Richie Martin,BAL,"SS,MI,U",3,0.292,20,15,4,203,sa659080
Adolis Garcia,STL,"OF,U",1,0.262,2,2,0,21,19287
Luke Maile,TOR,"C,U",2,0.277,9,8,1,94,13355
Caleb Joseph,ARI,"C,U",1,0.273,3,3,0,32,7087
Keon Broxton,NYM,"OF,U",11,0.265,41,32,13,363,9253
Magneuris Sierra,MIA,"OF,U",1,0.272,6,4,2,69,17023
Chris Sale,BOS,SP,2.49,266,0,16,0.92,183,10603
Edwin Diaz,NYM,RP,2.53,90,31,3,0.99,65,14710
Aroldis Chapman,NYY,RP,2.5,97,28,4,1.06,65,10233
Dellin Betances,NYY,RP,2.88,117,1,4,1.15,75,6216
Jacob deGrom,NYM,SP,2.6,264,0,16,1,211,10954
Josh Hader,MIL,RP,2.59,119,4,4,1.08,80,14212
Corey Knebel,MIL,RP,2.77,94,28,3,1.09,65,15010
Sean Doolittle,WAS,RP,2.82,84,31,3,0.96,65,1581
Will Smith,SF,RP,3.29,81,32,3,1.21,65,8048
Luis Severino,NYY,SP,2.99,197,0,14,1.07,167,15890
Craig Kimbrel,FA,RP,2.81,94,22,4,1.05,65,6655
Diego Castillo,TB,RP,2.93,69,4,3,1.1,60,17496
Keone Kela,PIT,RP,3.05,74,6,3,1.14,60,14696
Jeurys Familia,NYM,RP,3.15,68,7,3,1.21,65,5114
Trevor Rosenthal,WAS,RP,3.32,87,6,3,1.29,65,10745
Jose Castillo,SDP,RP,3.23,29,0,1,1.23,25,17169
Kenley Jansen,LAD,RP,3.11,77,30,4,0.99,65,3096
Noah Syndergaard,NYM,SP,3.2,185,0,12,1.14,177,11762
Felipe Vazquez,PIT,RP,3.3,72,28,3,1.23,65,12076
Chad Green,NYY,RP,3.59,88,0,4,1.23,70,15552
Carson Smith,BOS,RP,3.39,10,0,1,1.27,10,13172
James Paxton,NYY,SP,3.19,207,0,14,1.11,171,11828
Max Scherzer,WAS,SP,3.02,288,0,16,1,210,3137
Blake Snell,TB,SP,3.12,237,0,14,1.15,190,13543
Cole Sulser,TB,RP,3.56,26,0,1,1.25,20,sa738350
Matt Barnes,BOS,RP,3.58,86,8,3,1.28,65,12863
Adam Ottavino,NYY,RP,3.32,90,8,4,1.18,65,1247
Aaron Nola,PHI,SP,3.2,208,0,13,1.11,189,16149
David Paulino,TOR,"SP,RP",3.36,57,2,2,1.16,50,17418
A.J. Minter,ATL,RP,3.37,73,13,3,1.2,65,18655
Jeremy Jeffress,MIL,RP,3.35,67,6,3,1.24,65,9490
Donnie Hart,LAD,RP,3.38,14,0,1,1.25,15,15306
David Robertson,PHI,RP,3.36,82,22,3,1.17,65,8241
Trevor Gott,SF,RP,3.53,24,0,1,1.31,25,15046
Jose Alvarado,TB,RP,2.89,71,30,3,1.32,60,17780
Tony Watson,SF,RP,3.24,60,2,3,1.12,65,3132
