Julio Teheran,ATL,-5.81,2.09,-0.93,2.71,-2.9,-5,159
Antonio Senzatela,COL,-6.11,2.14,-0.93,3.57,-4.03,-5,169
Tyler Flowers,ATL,-1.17,1.98,-1.45,-1.28,-3,-5,268
Travis Jankowski,,-4.22,1.12,-2.91,-4.39,4.96,-5,240
Johan Camargo,,-1.17,2.06,-1.58,-1.28,-3,-5,59
Yangervis Solarte,,-0.79,0.63,-1.33,-1,-2.27,-5,276
Troy Tulowitzki,,-0.03,-1.29,-1.09,-0.73,-2.27,-5,549
Lewis Brinson,,0.35,-5.58,-0.48,0.21,0.62,-5,626
Tim Beckham,,-1.17,1.45,-1.7,-1.95,-1.55,-5,85
Jorge Alfaro,,-0.79,1.45,-1.82,-1.28,-2.27,-5,66
Jared Hughes,CIN,-0.17,-2.28,-0.13,-2.44,-1.11,-6,65
John Gant,STL,-0.28,-2.13,-0.93,-2.44,-0.45,-6,60
Gio Gonzalez,FA,-1.44,-0.91,-0.93,-0.72,-1.71,-6,92
Sean Reid-Foley,TOR,-3.12,-0.09,-0.93,0.14,-1.87,-6,99
Derek Holland,FA,-2.17,-0.96,-0.93,-0.72,-1.48,-6,89
Dan Straily,MIA,-5.63,1.74,-0.93,0.99,-2.26,-6,156
Chase Anderson,MIL,-6.35,1.43,-0.93,1.85,-2.08,-6,145
Trevor Williams,PIT,-4.61,0.67,-0.93,1.85,-3.41,-6,145
Drew Pomeranz,FA,-4.37,0.92,-0.93,1.85,-3.93,-6,136
Eric Thames,,-0.79,1.74,-2.42,-3.03,-1.55,-6,216
Didi Gregorius,,-1.17,-0.48,-2.06,-1.82,-0.83,-6,516
Nick Williams,,-1.17,1.59,-2.42,-2.09,-2.27,-6,93
Mike Zunino,,2.26,-4.82,-0.61,0.08,-3,-6,536
J.T. Riddle,,-0.79,-4.02,-0.36,0.08,-0.83,-6,577
Cody Reed,CIN,-0.84,-2.03,-0.93,-1.58,-1.16,-7,62
Corbin Burnes,MIL,-1.56,-1.52,-0.93,-1.58,-1.04,-7,74
Sam Gaviglio,TOR,-2.05,-1.82,-0.93,-1.58,-0.4,-7,78
Hector Velazquez,BOS,-0.83,-2.79,-0.93,-2.44,-0.2,-7,57
Luis Perdomo,SD,-0.83,-2.13,-0.93,-1.58,-1.38,-7,71
Tyler Mahle,CIN,-2.52,-1.26,-0.93,-0.72,-1.13,-7,79
Mitch Keller,PIT,-2.25,-0.91,-0.93,-0.72,-1.88,-7,92
Josh Tomlin,FA,-3.82,-1.67,-0.93,-0.72,-0.01,-7,90
Francisco Liriano,FA,-1.91,-0.96,-0.93,-0.72,-2.56,-7,87
Martin Perez,FA,-1.72,-1.77,-0.93,-0.72,-2.19,-7,91
Jung Ho Kang,PIT,-1.55,2.16,-2.91,-2.9,-2.27,-7,510
Jeff McNeil,,-2.7,1.96,-2.18,-3.03,-0.83,-7,122
Addison Russell,,-1.55,-0.21,-1.7,-1.55,-2.27,-7,564
Kurt Suzuki,,-1.55,2.02,-2.18,-1.82,-3,-7,68
Greg Bird,,-0.41,0.45,-2.06,-2.09,-3,-7,330
